,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
5040,0,1.295,3.6873,51325.0,0.6026130000000001,6.17772,80.02,624.0,35.83,85.3,29.0,6411.0,4.3069999999999995,1.216,1.091
5041,0,1.149,9.9776,39943.0,0.44017700000000004,1.10235,41.72,279.0,1.44,131.9,8.0,5420.0,4.502,0.868,0.874
5042,0,2.79,5.58652,265410.0,2.488302,7.99211,282.86,746.0,73.31,51.36,0.0,6173.0,4.447,1.041,1.104
5043,0,0.559,4.575,42.7,0.006215,0.13310999999999998,0.85,1662.0,1805.11,3.44,562.0,6398.0,4.276,1.249,1.07
5044,0,0.603,8.3476,325450.0,0.612697,1.10658,104.17,835.0,114.9,31.187,26.0,6049.0,4.067,1.557,1.032
5045,0,0.886,15.3564,49269.0,0.275861,0.33231,23.38,275.0,1.36,84.254,8.0,5341.0,4.513999999999999,0.776,0.718
5046,1,0.015,8.664,546.4,0.021508000000000003,1.1356600000000001,2.24,441.0,8.92,74.01,17.0,6247.0,4.489,0.954,1.022
5047,0,12.223,7.19844,71432.0,11.513161,13.01865,1183.06,592.0,29.11,83.4,42.0,5783.0,4.415,0.941,0.841
5048,0,0.995,12.1317,96586.0,0.482947,0.4868,41.66,362.0,4.08,53.602,18.0,5359.0,4.57,0.79,0.848
5049,0,0.718,4.514,443.1,0.020671000000000002,17.385479999999998,4.41,330.0,2.8,609.0,3.0,6054.0,3.911,1.953,1.135
5050,1,0.074,2.577,273.7,0.015084,5.29954,1.68,860.0,129.28,31.09,133.0,5893.0,4.423,1.02,1.005
5051,1,0.849,5.236,482.2,0.022841999999999998,0.22014,2.25,662.0,45.49,16.73,56.0,5997.0,4.522,0.904,0.991
5052,1,0.122,2.134,576.3,0.022052000000000002,27.418470000000003,2.8,660.0,44.87,109.9,47.0,6277.0,4.402,1.161,1.239
5053,0,0.915,7.206169999999999,134140.0,0.507526,0.66419,39.24,585.0,27.61,21.718,0.0,5431.0,4.623,0.708,0.769
